date,session_key,lap_number,lane_duration,stop_duration,pit_duration,meeting_key,driver_number
2025-03-16T04:23:12.761000+00:00,9693,2,13.3,,13.3,1254,4
2025-03-16T04:23:14.282000+00:00,9693,2,13.4,,13.4,1254,1
2025-03-16T04:23:15.787000+00:00,9693,2,13.0,,13.0,1254,81
2025-03-16T04:23:18.291000+00:00,9693,2,13.6,,13.6,1254,63
2025-03-16T04:23:21.181000+00:00,9693,2,14.1,,14.1,1254,16
2025-03-16T04:23:24.246000+00:00,9693,2,14.9,,14.9,1254,22
2025-03-16T04:23:26.497000+00:00,9693,2,15.0,,15.0,1254,23
2025-03-16T04:23:28.680000+00:00,9693,2,15.0,,15.0,1254,44
2025-03-16T04:23:31.233000+00:00,9693,2,15.1,,15.1,1254,10
2025-03-16T04:23:33.032000+00:00,9693,2,15.5,,15.5,1254,14
2025-03-16T04:23:35.723000+00:00,9693,2,15.5,,15.5,1254,18
2025-03-16T04:23:37.404000+00:00,9693,2,15.1,,15.1,1254,27
2025-03-16T04:23:38.906000+00:00,9693,2,14.6,,14.6,1254,12
2025-03-16T04:23:40.336000+00:00,9693,2,14.4,,14.4,1254,5
2025-03-16T04:23:42.208000+00:00,9693,2,14.3,,14.3,1254,31
2025-03-16T04:23:44.866000+00:00,9693,2,14.7,,14.7,1254,30
2025-03-16T04:23:45.808000+00:00,9693,2,14.6,,14.6,1254,87
2025-03-16T04:25:54.261000+00:00,9693,3,12.9,,12.9,1254,4
2025-03-16T04:25:56.710000+00:00,9693,3,13.7,,13.7,1254,1
2025-03-16T04:25:58.250000+00:00,9693,3,13.8,,13.8,1254,81
2025-03-16T04:26:00.588000+00:00,9693,3,14.1,,14.1,1254,63
2025-03-16T04:26:03.317000+00:00,9693,3,14.6,,14.6,1254,16
2025-03-16T04:26:07.237000+00:00,9693,3,15.2,,15.2,1254,22
2025-03-16T04:26:11.014000+00:00,9693,3,16.9,,16.9,1254,23
2025-03-16T04:26:12.947000+00:00,9693,3,16.1,,16.1,1254,44
2025-03-16T04:26:14.535000+00:00,9693,3,15.7,,15.7,1254,10
2025-03-16T04:26:16.239000+00:00,9693,3,16.2,,16.2,1254,14
2025-03-16T04:26:18.773000+00:00,9693,3,16.0,,16.0,1254,18
2025-03-16T04:26:20.410000+00:00,9693,3,15.9,,15.9,1254,27
2025-03-16T04:26:22.648000+00:00,9693,3,16.3,,16.3,1254,12
2025-03-16T04:26:24.517000+00:00,9693,3,16.3,,16.3,1254,5
2025-03-16T04:26:26.647000+00:00,9693,3,16.4,,16.4,1254,31
2025-03-16T04:26:29.150000+00:00,9693,3,16.3,,16.3,1254,30
2025-03-16T04:26:30.064000+00:00,9693,3,16.3,,16.3,1254,87
2025-03-16T04:28:30.190000+00:00,9693,4,12.8,,12.8,1254,4
2025-03-16T04:28:32.243000+00:00,9693,4,12.9,,12.9,1254,1
2025-03-16T04:28:33.914000+00:00,9693,4,12.8,,12.8,1254,81
2025-03-16T04:28:37.172000+00:00,9693,4,13.6,,13.6,1254,63
2025-03-16T04:28:39.089000+00:00,9693,4,14.1,,14.1,1254,16
2025-03-16T04:28:42.407000+00:00,9693,4,13.6,,13.6,1254,22
2025-03-16T04:28:44.788000+00:00,9693,4,14.2,,14.2,1254,23
2025-03-16T04:28:47.101000+00:00,9693,4,14.7,,14.7,1254,44
2025-03-16T04:28:49.811000+00:00,9693,4,14.7,,14.7,1254,10
2025-03-16T04:28:51.748000+00:00,9693,4,15.0,,15.0,1254,14
2025-03-16T04:28:54.348000+00:00,9693,4,14.4,,14.4,1254,18
2025-03-16T04:28:56.162000+00:00,9693,4,14.1,,14.1,1254,27
2025-03-16T04:28:57.988000+00:00,9693,4,13.9,,13.9,1254,12
2025-03-16T04:29:00.339000+00:00,9693,4,14.2,,14.2,1254,5
2025-03-16T04:29:08.858000+00:00,9693,4,19.649,2.5,19.649,1254,31
2025-03-16T04:29:09.440000+00:00,9693,4,18.88,2.5,18.88,1254,30
2025-03-16T04:29:15.713000+00:00,9693,4,22.494,2.4,22.494,1254,87
2025-03-16T05:15:54.883000+00:00,9693,33,18.997,2.6,18.997,1254,22
2025-03-16T05:15:55.546000+00:00,9693,33,18.573,2.7,18.573,1254,23
2025-03-16T05:15:57.301000+00:00,9693,33,18.526,2.4,18.526,1254,44
